30,178,115,144,1,Y
9,110,153,148,40,Y
3,146,178,97,30,Y
42,135,109,155,12,Y
24,147,138,142,43,Y
35,168,134,120,27,Y
10,92,159,105,2,Y
40,127,130,165,45,Y
1,171,163,98,40,Y
7,172,93,164,3,Y
39,90,155,90,6,Y
4,99,122,121,20,Y
3,132,131,126,16,Y
42,153,126,126,11,Y
20,128,105,121,37,Y
2,167,174,142,7,Y
4,111,151,165,18,Y
5,146,163,167,4,Y
29,179,101,171,6,Y
28,131,125,121,20,Y
6,142,169,149,20,Y
22,158,157,128,24,Y
33,175,116,126,37,Y
14,126,147,139,35,Y
24,153,110,146,23,Y
27,125,161,130,3,Y
0,99,165,169,26,Y
1,156,172,92,34,Y
19,119,154,161,12,Y
41,147,94,158,20,Y
19,137,172,176,28,Y
30,118,97,128,21,Y
10,93,94,169,5,Y
25,146,133,110,39,Y
10,116,167,133,23,Y
27,149,159,123,15,Y
12,117,111,150,3,Y
26,113,90,94,17,Y
17,91,107,171,22,Y
5,142,161,134,40,Y
0,150,137,153,35,Y
6,168,150,139,42,Y
30,174,162,94,7,Y
28,138,130,116,41,Y
45,165,174,107,33,Y
3,162,151,101,5,Y
3,108,152,148,40,Y
37,98,152,134,3,Y
5,180,157,124,42,Y
36,119,140,135,30,Y
12,130,131,149,16,Y
8,101,167,155,28,Y
9,112,150,171,41,Y
10,137,127,133,41,Y
40,94,117,132,29,Y
1,113,159,159,39,Y
37,145,171,162,7,Y
45,127,99,95,36,Y
22,165,169,109,7,Y
22,97,90,167,43,Y
45,171,106,92,20,Y
39,99,164,136,23,Y
23,132,166,115,6,Y
34,139,158,134,22,Y
10,123,168,142,26,Y
22,127,142,147,3,Y
37,110,155,165,27,Y
5,180,142,141,39,Y
7,101,113,102,22,Y
14,127,114,108,7,Y
35,120,133,152,12,Y
15,110,134,134,36,Y
24,169,160,130,8,Y
25,112,108,98,17,Y
23,152,138,106,11,Y
45,124,174,115,20,Y
5,178,158,156,11,Y
